Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.0%,,87931,Below Threshold,"$1,727",1.5-3%,69,Low,Algeria,,,26998,$0,$55B,3.5%,$60,,3.4%,1%,0.1,71,67,0%,1,34%,62%,0.039,31.7M,59.9%,Africa,$0B,$0B,12/1/2000
5.0%,,9542,Below Threshold,$656,Above 3%,46,Low,Angola,,,7499,$0,$9B,3.4%,$22,,12.8%,0%,1.032,47,44,0%,1,48%,50%,0.025,13.9M,32.4%,Africa,$0B,$0B,12/1/2000
4.3%,,1617,Below Threshold,$339,Above 3%,55,Low,Benin,,,1983,$0,$2B,4.3%,$15,,9.0%,0%,,57,53,1%,1,45%,52%,0.029,6.9M,38.3%,Africa,$0B,$0B,12/1/2000
2.7%,,4276,Below Threshold,"$3,297",1.5-3%,51,Friendly,Botswana,,,1836,$0,$6B,4.7%,$152,,5.4%,3%,0.155,52,49,13%,1,38%,59%,0.029,1.8M,53.2%,Africa,$0B,$0B,12/1/2000
4.6%,,1041,Below Threshold,$225,Above 3%,51,Low,Burkina Faso,,,,$0,$3B,5.1%,$12,,9.6%,0%,,52,49,0%,1,47%,51%,0.028,11.6M,17.8%,Africa,$0B,$0B,12/1/2000
4.2%,,301,Below Threshold,$130,Above 3%,48,Low,Burundi,,,,$0,$1B,6.3%,$7,,9.2%,0%,0.158,49,47,0%,1,49%,48%,0.029,6.7M,8.2%,Africa,$0B,$0B,12/1/2000
4.1%,,3432,Below Threshold,$583,Above 3%,52,Low,Cameroon,,,6310,$0,$9B,4.4%,$26,,9.3%,0%,0.22,53,51,1%,1,45%,51%,0.034,15.9M,45.5%,Africa,$0B,$0B,12/1/2000
3.9%,,268,Below Threshold,$251,Above 3%,44,Low,Central African Republic,,,,$0,$1B,4.3%,$11,,11.3%,0%,0.22,45,42,0%,1,42%,54%,0.04,3.6M,37.6%,Africa,$0B,$0B,12/1/2000
5.1%,,176,Below Threshold,$167,Above 3%,47,Low,Chad,,,,$0,$1B,6.3%,$10,,10.6%,0%,0.22,48,46,0%,1,49%,48%,0.028,8.3M,21.6%,Africa,$0B,$0B,12/1/2000
3.9%,,84,Below Threshold,$382,Above 3%,58,Low,Comoros,,,,$0,$0B,3.5%,$13,,7.3%,0%,0.12,59,56,,1,42%,55%,0.031,0.5M,28.1%,Africa,$0B,,12/1/2000
4.8%,,1646,Below Threshold,$407,Above 3%,47,Low,"Congo, Dem. Rep.",,,16679,$0,$19B,4.8%,$14,,11.5%,0%,,48,45,0%,1,46%,51%,0.028,46.9M,35.1%,Africa,,,12/1/2000
3.9%,,1049,Below Threshold,"$1,030",Above 3%,52,Low,"Congo, Rep.",,,814,$0,$3B,2.1%,$22,,7.7%,0%,0.22,53,51,2%,1,42%,55%,0.036,3.1M,58.7%,Africa,$0B,$0B,12/1/2000
3.8%,,6791,Below Threshold,$646,Above 3%,47,Low,Cote d'Ivoire,,,6734,$0,$10B,6.5%,$42,,10.0%,0%,,47,46,3%,1,42%,55%,0.029,16.1M,43.5%,Africa,$0B,$0B,12/1/2000
3.0%,,403,Below Threshold,$763,Above 3%,57,Low,Djibouti,,,,$0,$1B,5.8%,$44,,8.0%,0%,,59,55,0%,1,41%,56%,0.03,0.7M,76.5%,Africa,$0B,$0B,12/1/2000
2.5%,,141326,Below Threshold,"$1,510",1.5-3%,69,Moderate,"Egypt, Arab Rep.",,,40658,$0,$100B,5.4%,$79,,3.6%,1%,0.132,71,66,2%,1,35%,59%,0.053,66.1M,42.8%,Africa,$5B,$1B,12/1/2000
4.0%,,455,Below Threshold,"$2,019",Above 3%,48,Low,Equatorial Guinea,,,,$0,$1B,2.4%,$57,,9.9%,0%,0.22,49,46,1%,1,43%,54%,0.037,0.5M,38.8%,Africa,$0B,$0B,12/1/2000
4.0%,,609,Below Threshold,$179,Above 3%,56,Low,Eritrea,,,708,$0,$1B,4.5%,$7,,5.8%,0%,,58,54,,1,47%,51%,0.018,3.9M,17.6%,Africa,$0B,,12/1/2000
4.4%,,5831,Below Threshold,$123,Above 3%,52,Moderate,Ethiopia,,,25242,$0,$8B,4.3%,$5,,9.0%,0%,0.109,53,51,0%,1,47%,50%,0.031,66.0M,14.7%,Africa,$0B,$0B,12/1/2000
3.4%,,1052,Below Threshold,"$4,135",Above 3%,60,Low,Gabon,,,1463,$0,$5B,2.9%,$118,,5.6%,1%,0.22,61,59,10%,1,41%,54%,0.059,1.2M,80.1%,Africa,$0B,$0B,12/1/2000
4.5%,,275,Below Threshold,$637,Above 3%,55,Low,"Gambia, The",,,,$0,$1B,4.5%,$29,,6.3%,1%,0.24,56,54,1%,1,46%,51%,0.027,1.2M,47.9%,Africa,,,12/1/2000
3.5%,,6289,Below Threshold,$265,Above 3%,57,Friendly,Ghana,,,7736,$0,$5B,4.8%,$13,,6.5%,0%,,58,56,1%,1,41%,56%,0.03,18.8M,43.9%,Africa,$0B,$0B,12/1/2000
